"","obsn_num","house_price","income","in_cali","earthquake","epsilon"
"1",1,0.8408927786389,0.0991544336908495,1,0,-0.00487938981534726
"2",2,0.821630609234096,0.109093898696427,1,0,-0.0738388842480377
"3",3,0.795388590270647,0.10302428830417,1,0,-0.0697328512502055
"4",4,0.936445513412056,0.0942393632745934,1,0,0.115248697039089
"5",5,0.97811241960188,0.0916171286380102,1,0,0.170026776411829
"6",6,0.989121332838002,0.106378933070188,1,0,0.107226667487064
"7",7,1.07737998709457,0.111654140487008,1,0,0.169109284659525
"8",8,1.00819518881843,0.0997526086364508,1,0,0.159432145636175
"9",9,1.0082312441168,0.121181807180094,1,0,0.052322208216328
"10",10,0.934109835336222,0.0987078474376036,1,0,0.090570598148204
"11",11,0.991336122449401,0.111341344641406,1,0,0.0846293992423691
"12",12,0.706781606070213,0.0903325239971546,1,0,-0.0948810139155599
"13",13,0.943812757212399,0.100006366446955,1,0,0.0937809249776253
"14",14,0.888452169628923,0.0963862110807861,1,0,0.0565211142249922
"15",15,0.815616784008512,0.0902738467240962,1,0,0.0142475503880313
"16",16,0.333763467792638,0.115973784804905,1,1,-0.0961054562318859
"17",17,0.840575866555275,0.100094650037769,1,0,-0.00989738363357168
"18",18,0.854603251723982,0.111151576675381,1,0,-0.0511546316529221
"19",19,0.848168871851317,0.110287402570359,1,0,-0.0532681410004755
"20",20,0.872677580694173,0.10396863035055,1,0,0.00283442894142113
"21",21,0.653254222500737,0.0868322147702669,1,0,-0.130906851350598
"22",22,0.729111502914053,0.10243847257976,1,0,-0.133080859984746
"23",23,0.811554924195237,0.0791859451142015,1,0,0.0656251986242295
"24",24,0.959305749318962,0.106854593459865,1,0,0.0750327820196382
"25",25,0.741061772382173,0.115001718084081,1,0,-0.183946818038232
"26",26,0.868376391764064,0.121619140491483,1,0,-0.0897193106933484
"27",27,0.899358917712548,0.0992090993775862,1,0,0.0533134208246174
"28",28,0.787222650728671,0.0924639778459019,1,0,-0.0250972385008385
"29",29,0.250704593188393,0.0824892578761657,1,1,-0.0117416961924352
"30",30,0.763797392192335,0.107072595962272,1,0,-0.121565587619025
"31",31,0.413319512305406,0.0998527406060574,1,1,0.0640558092751189
"32",32,0.40202636528655,0.122544758070117,1,1,-0.0606974250640336
"33",33,0.959649082818775,0.105253847329814,1,0,0.0833798461697036
